ID,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Channel,Views,Likes,Comments,official_video,Stream
0,Gorillaz,Feel Good Inc.,Demon Days,album,0.818,0.705,6,-6.679,0.177,0.008,0.002,0.613,0.772,138.559,222640,Gorillaz,693555221,6220896,169907,TRUE,1040234854
1,Gorillaz,Rhinestone Eyes,Plastic Beach,album,0.676,0.703,8,-5.815,0.030,0.087,0.001,0.046,0.852,92.761,200173,Gorillaz,72011645,1079128,31003,TRUE,310083733
2,Gorillaz,New Gold (feat. Tame Impala and Bootie Brown),New Gold (feat. Tame Impala and Bootie Brown),single,0.695,0.923,1,-3.930,0.052,0.043,0.047,0.116,0.551,108.014,215150,Gorillaz,8435055,282142,7399,TRUE,63063467
3,Gorillaz,On Melancholy Hill,Plastic Beach,album,0.689,0.739,2,-5.810,0.026,0.000,0.509,0.064,0.578,120.423,233867,Gorillaz,211754952,1788577,55229,TRUE,434663559
4,Gorillaz,Clint Eastwood,Gorillaz,album,0.663,0.694,10,-8.627,0.171,0.025,0.000,0.070,0.525,167.953,340920,Gorillaz,618480958,6197318,155930,TRUE,617259738
5,Gorillaz,DARE,Demon Days,album,0.760,0.891,11,-5.852,0.037,0.023,0.087,0.298,0.966,120.264,245000,Gorillaz,259021161,1844658,72008,TRUE,323850327
6,Gorillaz,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,New Gold (feat. Tame Impala and Bootie Brown) [Dom Dolla Remix],single,0.716,0.897,4,-7.185,0.063,0.012,0.262,0.325,0.358,127.030,274142,Dom Dolla,451996,11686,241,TRUE,10666154
7,Gorillaz,She's My Collar (feat. Kali Uchis),Humanz (Deluxe),album,0.726,0.815,11,-5.886,0.031,0.008,0.081,0.112,0.462,140.158,209560,SalvaMuñox,1010982,17675,260,FALSE,159605929
8,Gorillaz,Cracker Island (feat. Thundercat),Cracker Island (feat. Thundercat),single,0.741,0.913,2,-3.340,0.047,0.003,0.103,0.325,0.643,120.012,213750,Gorillaz,24459820,739527,20296,TRUE,42671901
9,Gorillaz,Dirty Harry,Demon Days,album,0.625,0.877,10,-7.176,0.162,0.032,0.081,0.672,0.865,192.296,230426,Gorillaz,154761056,1386920,39240,TRUE,191074713
10,Red Hot Chili Peppers,Californication,Californication (Deluxe Edition),album,0.592,0.767,9,-2.788,0.027,0.002,0.002,0.127,0.328,96.483,329733,Red Hot Chili Peppers,1018811259,4394471,121452,TRUE,1055738398
11,Red Hot Chili Peppers,Under the Bridge,Blood Sugar Sex Magik (Deluxe Edition),album,0.559,0.345,4,-13.496,0.046,0.058,0.000,0.141,0.458,84.581,264307,Red Hot Chili Peppers,246687714,1213572,32761,TRUE,1061750522
12,Red Hot Chili Peppers,Can't Stop,By the Way (Deluxe Edition),album,0.618,0.938,9,-3.442,0.046,0.018,0.000,0.167,0.875,91.455,269000,Red Hot Chili Peppers,336635759,1740224,32573,TRUE,866464951
13,Red Hot Chili Peppers,Scar Tissue,Californication (Deluxe Edition),album,0.595,0.717,0,-4.803,0.030,0.078,0.003,0.108,0.547,88.969,215907,Red Hot Chili Peppers,435121530,1890900,37069,TRUE,613838674
14,Red Hot Chili Peppers,Otherside,Californication (Deluxe Edition),album,0.458,0.795,0,-3.265,0.057,0.003,0.000,0.076,0.513,123.229,255373,Red Hot Chili Peppers,673528656,3140356,60091,TRUE,732774515
15,Red Hot Chili Peppers,Snow (Hey Oh),Stadium Arcadium,album,0.427,0.900,11,-3.674,0.050,0.116,0.000,0.119,0.599,104.655,334667,Red Hot Chili Peppers,320871237,1272266,37004,TRUE,860722316
16,Red Hot Chili Peppers,Dani California,Stadium Arcadium,album,0.556,0.913,0,-2.360,0.044,0.019,0.000,0.346,0.730,96.184,282160,Red Hot Chili Peppers,324228662,1456622,49461,TRUE,550067391
17,Red Hot Chili Peppers,By the Way,By the Way (Deluxe Edition),album,0.451,0.970,0,-4.938,0.107,0.026,0.004,0.102,0.198,122.444,216933,Red Hot Chili Peppers,179005296,784717,20084,TRUE,367485508
18,Red Hot Chili Peppers,Give It Away,Blood Sugar Sex Magik (Deluxe Edition),album,0.666,0.936,7,-9.919,0.048,0.002,0.086,0.153,0.776,91.577,282907,Red Hot Chili Peppers,86637926,434837,16029,TRUE,301947159
19,Red Hot Chili Peppers,Dark Necessities,The Getaway,album,0.700,0.742,5,-6.777,0.072,0.072,0.020,0.110,0.197,91.959,302000,Red Hot Chili Peppers,440037964,2094182,56516,TRUE,385677873
20,50 Cent,In Da Club,Get Rich Or Die Tryin',album,0.902,0.720,6,-2.776,0.347,0.260,0.000,0.075,0.805,90.059,193467,50CentVEVO,1682616458,10481678,296745,TRUE,1041736808
21,50 Cent,Candy Shop,The Massacre,album,0.614,0.574,11,-7.961,0.466,0.025,0.000,0.380,0.755,125.173,209107,50CentVEVO,838974650,5014527,113251,TRUE,701248893
22,50 Cent,Just A Lil Bit,The Massacre,album,0.489,0.692,1,-6.672,0.410,0.032,0.006,0.315,0.527,96.946,237707,50CentVEVO,476133463,2523312,42075,TRUE,395155110
23,50 Cent,P.I.M.P.,Get Rich Or Die Tryin',album,0.700,0.758,10,-3.012,0.342,0.044,0.000,0.040,0.889,78.693,249467,50CentVEVO,572659065,3334710,60552,TRUE,541728561
24,50 Cent,Many Men (Wish Death),Get Rich Or Die Tryin',album,0.653,0.826,6,-2.930,0.354,0.015,0.001,0.131,0.416,108.520,256227,50CentVEVO,441155628,2765887,84117,TRUE,332175400
25,50 Cent,Disco Inferno,The Massacre,album,0.925,0.659,3,-4.763,0.231,0.206,0.000,0.279,0.710,97.018,214227,50CentVEVO,39825951,382791,12038,TRUE,202477187
26,50 Cent,21 Questions,Get Rich Or Die Tryin',album,0.576,0.807,6,-3.908,0.317,0.353,0.000,0.051,0.908,90.012,224427,50CentVEVO,503248572,2759199,54805,TRUE,446003044
27,50 Cent,Is This Love ('09) (feat. 50 Cent),Curtain Call 2,album,0.853,0.776,8,-4.221,0.261,0.071,0.000,0.181,0.659,94.028,212013,EminemVEVO,5289821,245935,9008,TRUE,28529840
28,50 Cent,If I Can't,Get Rich Or Die Tryin',album,0.892,0.631,11,-2.522,0.302,0.244,0.000,0.024,0.838,93.975,196640,Wu Sound,46096,612,14,FALSE,210473579
29,50 Cent,Best Friend - Remix,Best Friend (Remix),single,0.545,0.640,10,-3.529,0.308,0.368,0.000,0.111,0.574,181.733,254493,Lightning,291023,5729,46,FALSE,160037992
33,Metallica,Whiskey In The Jar,"Garage, Inc.",album,0.511,0.972,10,-3.751,0.041,0.000,0.001,0.190,0.532,132.970,304893,Warner Records Vault,107553434,429797,12074,FALSE,327681785
37,Metallica,Lux Æterna,Lux Æterna,single,0.386,0.996,11,-2.960,0.075,0.000,0.001,0.116,0.188,130.573,205680,Metallica,14937918,473751,46230,TRUE,20061385
39,Metallica,Screaming Suicide,Screaming Suicide,single,0.425,0.972,4,-3.448,0.045,0.000,0.020,0.239,0.282,101.125,330453,Metallica,4317758,217109,17225,TRUE,3905429
40,Coldplay,Yellow,Parachutes,album,0.429,0.661,11,-7.227,0.028,0.002,0.000,0.234,0.285,173.372,266773,Coldplay,832532409,4600933,118296,TRUE,1483622308
41,Coldplay,Viva La Vida,Viva La Vida or Death and All His Friends,album,0.486,0.617,5,-7.115,0.029,0.095,0.000,0.109,0.417,138.015,242373,Coldplay,789581468,4370461,261790,TRUE,1325575712
42,Coldplay,Sparks,Parachutes,album,0.371,0.268,1,-10.506,0.028,0.748,0.052,0.104,0.165,102.617,227093,Coldplay - Topic,73201019,787343,1637,TRUE,475353044
43,Coldplay,Something Just Like This,Memories...Do Not Open,album,0.617,0.635,11,-6.769,0.032,0.050,0.000,0.164,0.446,103.019,247160,ChainsmokersVEVO,2118018686,10282499,270444,TRUE,2030825694
44,Coldplay,The Scientist,A Rush of Blood to the Head,album,0.557,0.442,5,-7.224,0.024,0.731,0.000,0.110,0.213,146.277,309600,Coldplay,1082588109,5532787,124357,TRUE,1465980600
45,Coldplay,A Sky Full of Stars,Ghost Stories,album,0.545,0.675,6,-6.474,0.028,0.006,0.002,0.209,0.162,124.970,267867,Coldplay,786404613,3741300,79974,TRUE,1021782403
46,Coldplay,Paradise,Mylo Xyloto,album,0.449,0.585,5,-6.761,0.027,0.051,0.000,0.083,0.212,139.631,278719,Coldplay,1665814269,8497224,343020,TRUE,927288329
47,Coldplay,Hymn for the Weekend,A Head Full of Dreams,album,0.491,0.693,0,-6.487,0.038,0.211,0.000,0.325,0.412,90.027,258267,Coldplay,1828242112,13515772,377666,TRUE,1049654852
48,Coldplay,My Universe,Music Of The Spheres,album,0.573,0.711,1,-6.268,0.041,0.011,0.000,0.328,0.470,105.006,226198,Coldplay,254655970,8867547,432726,TRUE,883224238
49,Coldplay,Fix You,X&Y,album,0.209,0.417,3,-8.740,0.034,0.164,0.002,0.113,0.124,138.178,295533,Coldplay,566239229,2962029,114460,TRUE,1115171056
50,Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],single,0.794,0.811,6,-8.966,0.038,0.043,0.000,0.101,0.862,116.047,248413,convar HUN,32310867,956073,19646,FALSE,844698895
51,Daft Punk,One More Time,Discovery,album,0.613,0.697,2,-8.618,0.133,0.019,0.000,0.332,0.476,122.746,320357,Daft Punk,432177586,2707992,110189,TRUE,471747761
52,Daft Punk,Instant Crush (feat. Julian Casablancas),Random Access Memories,album,0.775,0.585,10,-9.516,0.027,0.042,0.619,0.077,0.518,109.942,337560,DaftPunkVEVO,606828966,3111505,87115,TRUE,460589724
53,Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers),Random Access Memories,album,0.810,0.793,6,-9.404,0.040,0.038,0.000,0.072,0.863,116.050,369627,convar HUN,32310867,956073,19646,FALSE,400304719
54,Daft Punk,Around the World,Homework,album,0.956,0.795,7,-5.311,0.150,0.004,0.889,0.091,0.841,121.294,429533,Daft Punk,38218353,466569,11904,TRUE,293417547
55,Daft Punk,"Harder, Better, Faster, Stronger",Discovery,album,0.817,0.716,6,-8.898,0.144,0.043,0.003,0.358,0.692,123.474,224693,Daft Punk,121308880,1329678,70754,TRUE,292668007
56,Daft Punk,Something About Us,Discovery,album,0.875,0.475,9,-12.673,0.099,0.440,0.720,0.046,0.384,99.958,232667,Daft Punk,77464307,723914,23915,TRUE,185381876
57,Daft Punk,Lose Yourself to Dance (feat. Pharrell Williams),Random Access Memories,album,0.832,0.659,10,-7.828,0.057,0.084,0.001,0.075,0.674,100.163,353893,DaftPunkVEVO,195983803,1115598,37436,TRUE,274711166
58,Daft Punk,Veridis Quo,Discovery,album,0.605,0.687,9,-13.928,0.045,0.479,0.949,0.104,0.120,106.896,345187,Daft Punk,23984070,216822,7260,TRUE,90589464
59,Daft Punk,Digital Love,Discovery,album,0.644,0.664,9,-8.398,0.033,0.048,0.867,0.342,0.530,124.726,301373,Daft Punk,30079390,203063,8957,TRUE,115484456
60,Linkin Park,In the End,Hybrid Theory (Bonus Edition),album,0.556,0.864,3,-5.870,0.058,0.010,0.000,0.209,0.400,105.143,216880,Linkin Park,1487186392,10183387,409471,TRUE,1444841705
61,Linkin Park,Numb,Meteora,album,0.496,0.863,9,-4.153,0.038,0.005,0.000,0.639,0.243,110.018,185587,Linkin Park,1928733776,12341722,550921,TRUE,1195213410
62,Linkin Park,What I've Done,Minutes to Midnight,album,0.623,0.930,5,-5.285,0.032,0.014,0.000,0.138,0.287,120.119,205613,Linkin Park,587927093,3370635,148741,TRUE,589294152
63,Linkin Park,Numb / Encore,Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course,single,0.687,0.793,2,-4.254,0.166,0.060,0.000,0.582,0.751,107.045,205733,Linkin Park,44436981,226771,9260,TRUE,778880225
64,Linkin Park,One Step Closer,Hybrid Theory (Bonus Edition),album,0.492,0.969,9,-4.419,0.049,0.001,0.000,0.079,0.538,95.136,157333,Linkin Park,154808291,1102031,33750,TRUE,447287242
65,Linkin Park,Faint,Meteora,album,0.554,0.978,4,-3.554,0.131,0.111,0.000,0.073,0.594,135.095,162600,Linkin Park,378323695,2061834,65731,TRUE,413355749
66,Linkin Park,Bleed It Out,Minutes to Midnight,album,0.529,0.967,1,-3.647,0.051,0.114,0.000,0.610,0.596,140.127,166373,Linkin Park,135176149,762715,27609,TRUE,388331061
67,Linkin Park,Papercut,Hybrid Theory (Bonus Edition),album,0.524,0.939,9,-3.994,0.113,0.000,0.000,0.623,0.661,150.184,184867,Linkin Park,240834555,1400306,50003,TRUE,345142662
68,Linkin Park,Crawling,Hybrid Theory (Bonus Edition),album,0.580,0.702,4,-5.565,0.034,0.047,0.000,0.536,0.299,105.076,208960,Linkin Park,374506972,2197293,96490,TRUE,391929621
69,Linkin Park,BURN IT DOWN,LIVING THINGS,album,0.585,0.972,9,-4.450,0.053,0.014,0.000,0.071,0.585,110.006,230253,Linkin Park,353135986,2534190,113567,TRUE,368132993
70,Radiohead,Creep,Pablo Honey,album,0.515,0.430,7,-9.935,0.037,0.010,0.000,0.129,0.104,91.844,238640,Radiohead,763497849,4777393,147276,TRUE,1101854725
71,Radiohead,No Surprises,OK Computer,album,0.255,0.393,5,-10.654,0.028,0.058,0.004,0.113,0.118,76.426,229120,Radiohead,167847274,1274934,40034,TRUE,379349681
72,Radiohead,Karma Police,OK Computer,album,0.360,0.501,7,-9.129,0.026,0.064,0.000,0.172,0.324,74.807,264067,Radiohead,89246405,593396,17682,TRUE,382823305
73,Radiohead,High and Dry,The Bends,album,0.419,0.383,4,-11.782,0.026,0.072,0.018,0.090,0.350,87.568,257480,Justice Elan Wenzloff,80290,2133,238,FALSE,291096318
74,Radiohead,Exit Music (For A Film),OK Computer,album,0.293,0.276,4,-11.357,0.035,0.224,0.122,0.167,0.195,121.603,267187,Radiohead - Topic,10644157,171322,1669,TRUE,146857863
75,Radiohead,Weird Fishes/ Arpeggi,In Rainbows,album,0.531,0.610,11,-8.025,0.039,0.772,0.756,0.091,0.199,152.958,318187,Radiohead,15335499,125774,4852,TRUE,121688699
76,Radiohead,Jigsaw Falling Into Place,In Rainbows,album,0.462,0.832,11,-6.085,0.048,0.108,0.004,0.074,0.807,165.653,248893,Radiohead,26398730,180969,8010,TRUE,79367881
77,Radiohead,Fake Plastic Trees,The Bends,album,0.463,0.229,2,-12.592,0.030,0.167,0.100,0.202,0.135,73.543,290707,Radiohead,61340263,398951,15400,TRUE,219867047
78,Radiohead,Just,The Bends,album,0.291,0.767,7,-6.913,0.086,0.000,0.012,0.076,0.359,175.702,234800,Radiohead,15041854,146328,6899,TRUE,88945336
79,Radiohead,Nude,In Rainbows,album,0.516,0.342,4,-9.785,0.034,0.832,0.579,0.086,0.167,128.378,255387,Radiohead,12205514,124486,4536,TRUE,86388469
80,AC/DC,Highway to Hell,Highway to Hell,album,0.574,0.913,6,-4.793,0.133,0.061,0.002,0.156,0.423,115.728,208400,acdcVEVO,274830901,2039258,44487,TRUE,1143164505
81,AC/DC,Thunderstruck,The Razors Edge,album,0.502,0.890,4,-5.175,0.036,0.000,0.012,0.217,0.259,133.520,292880,acdcVEVO,1224226060,5989128,153047,TRUE,1088388556
